"CÃ³digo Completo";"Familia";"Referencia";"VersiÃ³n";"Color";"Nombre SAP";"Nombre Final ES";"Nombre Final EN";"Mueble";"DesignaciÃ³n";"LÃ­nea Comercial";"Medida Comercial";"Ancho (cm)";"Fondo (cm)";"Alto (cm)";"Peso (kg)";"Canto Puertas";"RH";"Armado";"Marca Propia"
"VBAN05-0009-000-0447";"VBAN05";"0009";"000";"0447";"MUEBLE BASICO ELEVADO LVM 63X48 CON MANIJAS CARBONO/BAUDO";"MUEBLE ELEVADO BASICO ESSENTIAL PARA LAVAMANOS 63X48 CON MANIJAS CANTO 2 MM";"BASIC ESSENTIAL WALL MOUNTED VANITY 25INX19IN WITH HANDLES 2MM EDGE BAND";"BASICO";"ELEVADO";"ESSENTIAL";"63X48";"62,4";"47,6";"48";"12";"CANTO 2 MM";"NA";"NO";"NA"
"VBAN05-0009-000-0450";"VBAN05";"0009";"000";"0450";"MUEBLE BASICO ELEVADO LVM 63X48 CON MANIJAS GLAZE";"MUEBLE ELEVADO BASICO ESSENTIAL PARA LAVAMANOS 63X48 CON MANIJAS CANTO 2 MM";"BASIC ESSENTIAL WALL MOUNTED VANITY 25INX19IN WITH HANDLES 2MM EDGE BAND";"BASICO";"ELEVADO";"ESSENTIAL";"63X48";"62,4";"47,6";"48";"12";"CANTO 2 MM";"NA";"NO";"NA"
"VBAN05-0009-000-0458";"VBAN05";"0009";"000";"0458";"MUEBLE BASICO ELEVADO LVM 63X48 CON MANIJAS TRIBECA";"MUEBLE ELEVADO BASICO ESSENTIAL PARA LAVAMANOS 63X48 CON MANIJAS CANTO 2 MM";"BASIC ESSENTIAL WALL MOUNTED VANITY 25INX19IN WITH HANDLES 2MM EDGE BAND";"BASICO";"ELEVADO";"ESSENTIAL";"63X48";"62,4";"47,6";"48";"12";"CANTO 2 MM";"NA";"NO";"NA"
"VBAN05-0009-000-0493";"VBAN05";"0009";"000";"0493";"MUEBLE BASICO ELEVADO LVM 63X48 CON MANIJAS AUSTRAL";"MUEBLE ELEVADO BASICO ESSENTIAL PARA LAVAMANOS 63X48 CON MANIJAS CANTO 2 MM";"BASIC ESSENTIAL WALL MOUNTED VANITY 25INX19IN WITH HANDLES 2MM EDGE BAND";"BASICO";"ELEVADO";"ESSENTIAL";"63X48";"62,4";"47,6";"48";"12";"CANTO 2 MM";"NA";"NO";"NA"
"VBAN05-0009-000-1345";"VBAN05";"0009";"000";"1345";"MUEBLE BASICO ELEVADO LVM 63X48 CON MANIJAS VOLCANICO";"MUEBLE ELEVADO BASICO ESSENTIAL PARA LAVAMANOS 63X48 CON MANIJAS CANTO 2 MM";"BASIC ESSENTIAL WALL MOUNTED VANITY 25INX19IN WITH HANDLES 2MM EDGE BAND";"BASICO";"ELEVADO";"ESSENTIAL";"63X48";"62,4";"47,6";"48";"12";"CANTO 2 MM";"NA";"NO";"NA"
"VBAN05-0010-000-0100";"VBAN05";"0010";"000";"0100";"RH MUEBLE BASICO ELEVADO LVM 63X48 CON MANIJAS BLANCO";"RH MUEBLE ELEVADO BASICO ESSENTIAL PARA LAVAMANOS 63X48 CON MANIJAS CANTO 2 MM";"MR BASIC ESSENTIAL WALL MOUNTED VANITY 25INX19IN WITH HANDLES 2MM EDGE BAND";"BASICO";"ELEVADO";"ESSENTIAL";"63X48";"62,4";"47,6";"48";"12";"CANTO 2 MM";"RH";"NO";"NA"
"VBAN05-0010-000-0437";"VBAN05";"0010";"000";"0437";"RH MUEBLE BASICO ELEVADO LVM 63X48 CON MANIJAS SODER/ MALI";"RH MUEBLE ELEVADO BASICO ESSENTIAL PARA LAVAMANOS 63X48 CON MANIJAS CANTO 2 MM";"MR BASIC ESSENTIAL WALL MOUNTED VANITY 25INX19IN WITH HANDLES 2MM EDGE BAND";"BASICO";"ELEVADO";"ESSENTIAL";"63X48";"62,4";"47,6";"48";"12";"CANTO 2 MM";"RH";"NO";"NA"
"VBAN05-0010-000-0439";"VBAN05";"0010";"000";"0439";"RH MUEBLE BASICO ELEVADO LVM 63X48 CON MANIJAS MITTE/TAMBO";"RH MUEBLE ELEVADO BASICO ESSENTIAL PARA LAVAMANOS 63X48 CON MANIJAS CANTO 2 MM";"MR BASIC ESSENTIAL WALL MOUNTED VANITY 25INX19IN WITH HANDLES 2MM EDGE BAND";"BASICO";"ELEVADO";"ESSENTIAL";"63X48";"62,4";"47,6";"48";"12";"CANTO 2 MM";"RH";"NO";"NA"
"VBAN05-0010-000-0451";"VBAN05";"0010";"000";"0451";"RH MUEBLE BASICO ELEVADO LVM 63X48 CON MANIJAS BOSCUS ESCANDINAVO";"RH MUEBLE ELEVADO BASICO ESSENTIAL PARA LAVAMANOS 63X48 CON MANIJAS CANTO 2 MM";"MR BASIC ESSENTIAL WALL MOUNTED VANITY 25INX19IN WITH HANDLES 2MM EDGE BAND";"BASICO";"ELEVADO";"ESSENTIAL";"63X48";"62,4";"47,6";"48";"12";"CANTO 2 MM";"RH";"NO";"NA"
"VBAN05-0010-000-0484";"VBAN05";"0010";"000";"0484";"RH MUEBLE BASICO ELEVADO LVM 63X48 CON MANIJAS SAGANO";"RH MUEBLE ELEVADO BASICO ESSENTIAL PARA LAVAMANOS 63X48 CON MANIJAS CANTO 2 MM";"MR BASIC ESSENTIAL WALL MOUNTED VANITY 25INX19IN WITH HANDLES 2MM EDGE BAND";"BASICO";"ELEVADO";"ESSENTIAL";"63X48";"62,4";"47,6";"48";"12";"CANTO 2 MM";"RH";"NO";"NA"
