"CÃ³digo","Nombre SAP","Nombre Final ES","Nombre Final EN"
"VBAN05-0015-000-0493","MUEBLE BASICO PISO LVM 63X48 AUSTRAL","MUEBLE A PISO BASICO ESSENTIAL PARA LAVAMANOS 63X48 CON MANIJAS CANTO 2 MM","BASIC ESSENTIAL 25INX19IN FREESTANDING VANITY WITH HANDLES 2MM EDGE BAND"
"VBAN05-0015-000-1345","MUEBLE BASICO PISO LVM 63X48 VOLCANICO AMAZONAS","MUEBLE A PISO BASICO ESSENTIAL PARA LAVAMANOS 63X48 CON MANIJAS CANTO 2 MM","BASIC ESSENTIAL 25INX19IN FREESTANDING VANITY WITH HANDLES 2MM EDGE BAND"
"VBAN05-0019-000-0100","MUEBLE TIZIANO ELEVADO LVM 79X48 BLANCO","MUEBLE ELEVADO TIZIANO LIFE PARA LAVAMANOS 79x48 RFE CANTO 0.45 MM","TIZIANO LIFE 31INX19IN WALL MOUNTED VANITY SFE EDGE BAND 0.45MM"
"VBAN05-0019-000-0368","MUEBLE TIZIANO ELEVADO LVM 79X48 TABACO CHIC","MUEBLE ELEVADO TIZIANO LIFE PARA LAVAMANOS 79x48 RFE CANTO 0.45 MM","TIZIANO LIFE 31INX19IN WALL MOUNTED VANITY SFE EDGE BAND 0.45MM"
"VBAN05-0019-000-0392","MUEBLE TIZIANO ELEVADO LVM 79X48 WENGUE","MUEBLE ELEVADO TIZIANO LIFE PARA LAVAMANOS 79x48 RFE CANTO 0.45 MM","TIZIANO LIFE 31INX19IN WALL MOUNTED VANITY SFE EDGE BAND 0.45MM"
"VBAN05-0019-000-0420","MUEBLE TIZIANO ELEVADO LVM 79X48 ROVERE","MUEBLE ELEVADO TIZIANO LIFE PARA LAVAMANOS 79x48 RFE CANTO 0.45 MM","TIZIANO LIFE 31INX19IN WALL MOUNTED VANITY SFE EDGE BAND 0.45MM"
"VBAN05-0019-000-0437","MUEBLE TIZIANO ELEVADO LVM 79X48 SODER/MALI","MUEBLE ELEVADO TIZIANO LIFE PARA LAVAMANOS 79x48 RFE CANTO 0.45 MM","TIZIANO LIFE 31INX19IN WALL MOUNTED VANITY SFE EDGE BAND 0.45MM"
"VBAN05-0019-000-0439","MUEBLE TIZIANO ELEVADO LVM 79X48 MITTE/TAMBO","MUEBLE ELEVADO TIZIANO LIFE PARA LAVAMANOS 79x48 RFE CANTO 0.45 MM","TIZIANO LIFE 31INX19IN WALL MOUNTED VANITY SFE EDGE BAND 0.45MM"
"VBAN05-0019-000-0442","MUEBLE TIZIANO ELEVADO LVM 79X48 GRACIA/SIKUANI","MUEBLE ELEVADO TIZIANO LIFE PARA LAVAMANOS 79x48 RFE CANTO 0.45 MM","TIZIANO LIFE 31INX19IN WALL MOUNTED VANITY SFE EDGE BAND 0.45MM"
"VBAN05-0019-000-0447","MUEBLE TIZIANO ELEVADO LVM 79X48 CARBONO/BAUDO","MUEBLE ELEVADO TIZIANO LIFE PARA LAVAMANOS 79x48 RFE CANTO 0.45 MM","TIZIANO LIFE 31INX19IN WALL MOUNTED VANITY SFE EDGE BAND 0.45MM"
"VBAN05-0019-000-0458","MUEBLE TIZIANO ELEVADO LVM 79X48 TRIBECA","MUEBLE ELEVADO TIZIANO LIFE PARA LAVAMANOS 79x48 RFE CANTO 0.45 MM","TIZIANO LIFE 31INX19IN WALL MOUNTED VANITY SFE EDGE BAND 0.45MM"
"VBAN05-0019-000-0459","MUEBLE TIZIANO ELEVADO LVM 79X48 TAUSA","MUEBLE ELEVADO TIZIANO LIFE PARA LAVAMANOS 79x48 RFE CANTO 0.45 MM","TIZIANO LIFE 31INX19IN WALL MOUNTED VANITY SFE EDGE BAND 0.45MM"
"VBAN05-0019-000-0466","MUEBLE TIZIANO ELEVADO LVM 79X48 AMBAR","MUEBLE ELEVADO TIZIANO LIFE PARA LAVAMANOS 79x48 RFE CANTO 0.45 MM","TIZIANO LIFE 31INX19IN WALL MOUNTED VANITY SFE EDGE BAND 0.45MM"
"VBAN05-0019-000-0467","MUEBLE TIZIANO ELEVADO LVM 79X48 CINZA COBALTO","MUEBLE ELEVADO TIZIANO LIFE PARA LAVAMANOS 79x48 RFE CANTO 0.45 MM","TIZIANO LIFE 31INX19IN WALL MOUNTED VANITY SFE EDGE BAND 0.45MM"
"VBAN05-0019-000-0493","MUEBLE TIZIANO ELEVADO LVM 79X48 AUSTRAL","MUEBLE ELEVADO TIZIANO LIFE PARA LAVAMANOS 79x48 RFE CANTO 0.45 MM","TIZIANO LIFE 31INX19IN WALL MOUNTED VANITY SFE EDGE BAND 0.45MM"
"VBAN05-0019-000-1345","MUEBLE TIZIANO ELEVADO LVM 79X48 VOLCANICO AMAZONAS","MUEBLE ELEVADO TIZIANO LIFE PARA LAVAMANOS 79x48 RFE CANTO 0.45 MM","TIZIANO LIFE 31INX19IN WALL MOUNTED VANITY SFE EDGE BAND 0.45MM"
"VBAN05-0019-CHT-0439","MUEBLE TIZIANO ELEVADO LVM 79X48 MITTE/TAMBO-CHILEMAT","MUEBLE ELEVADO TIZIANO LIFE PARA LAVAMANOS 79x48 RFE CANTO 0.45 MM CHILEMAT","TIZIANO LIFE 31INX19IN WALL MOUNTED VANITY SFE EDGE BAND 0.45MM CHILEMAT"
